bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
HDFC Bank,7 - 14 days,3.00%,,3.50%,,,,30000000
HDFC Bank,15 - 29 days,3.00%,,3.50%,,,,30000000
HDFC Bank,30 - 45 days,3.50%,,4.00%,,,,30000000
HDFC Bank,46 - 60 days,4.50%,,5.00%,,,,30000000
HDFC Bank,61 - 89 days,4.50%,,5.00%,,,,30000000
HDFC Bank,90 days < = 6 months,4.50%,,5.00%,,,,30000000
HDFC Bank,6 months 1 days  < = 9 months,5.75%,,6.25%,,,,30000000
HDFC Bank,9 months 1 day to < 1 year,6.00%,,6.50%,,,,30000000
HDFC Bank,1 year to < 15 months,6.60%,,7.10%,,,,30000000
HDFC Bank,15 months to < 18 months,7.10%,,7.60%,,,,30000000
HDFC Bank,18 months to < 21 months,7.25%,,7.75%,,,,30000000
HDFC Bank,21 months - 2 years,7.00%,,7.50%,,,,30000000
HDFC Bank,2 Years 1 day to < 2 Year 11 Months,7.00%,,7.50%,,,,30000000
HDFC Bank,2 Years 11 Months - 35 Months,7.35%,,7.85%,,,,30000000
HDFC Bank,2 Years 11 Months 1 day < = 3 Year,7.00%,,7.50%,,,,30000000
HDFC Bank,3 Years 1 day to < 4 Years 7 Months,7.00%,,7.50%,,,,30000000
HDFC Bank,4 Year 7 Months - 55 months,7.40%,,7.90%,,,,30000000
HDFC Bank,4 Year 7 Months 1 day < = 5 Years,7.00%,,7.50%,,,,30000000
HDFC Bank,5 Years 1 day - 10 Years,7.00%,,7.50%,,,,30000000
IndusInd Bank,7 days to 14 days,3.50%,,4.00%,,,,30000000
IndusInd Bank,15 days to 30 days,3.50%,,4.00%,,,,30000000
IndusInd Bank,31 days to 45 days,3.75%,,4.25%,,,,30000000
IndusInd Bank,46 days to 60 days,4.75%,,5.25%,,,,30000000
IndusInd Bank,61 days to 90 days,4.75%,,5.25%,,,,30000000
IndusInd Bank,91 days to 120 days,4.75%,,5.25%,,,,30000000
IndusInd Bank,121 days to 180 days,5.00%,,5.50%,,,,30000000
IndusInd Bank,181 days to 210 days,5.85%,,6.35%,,,,30000000
IndusInd Bank,211 days to 269 days,6.10%,,6.60%,,,,30000000
IndusInd Bank,270 days to 354 days,6.35%,,6.85%,,,,30000000
IndusInd Bank,355 days to 364 days,6.50%,,7.00%,,,,30000000
IndusInd Bank,1 Year to below 1 Year 3 months,7.75%,,8.25%,,,,30000000
IndusInd Bank,1 Year 3 months (15 months) to below 1 Year 4 months (16 months),7.75%,,8.25%,,,,30000000
IndusInd Bank,1 Year 4 months to below 1 Year 6 months,7.75%,,8.25%,,,,30000000
IndusInd Bank,1 Year 6 Months up to 2 Years,7.75%,,8.25%,,,,30000000
IndusInd Bank,Above 2 Years to below 2 Years 6 Month,7.25%,,7.75%,,,,30000000
IndusInd Bank,2 years 6 Months (30 months) to below 2 years 7 months (31 months),7.25%,,7.75%,,,,30000000
IndusInd Bank,2 year 7 months to 3 years 3 months,7.25%,,7.75%,,,,30000000
IndusInd Bank,Above 3 years 3 months to below 61 month,7.25%,,7.75%,,,,30000000
IndusInd Bank,61 month and above,7.00%,,7.50%,,,,30000000
IndusInd Bank,Indus Tax Saver Scheme (5 years),7.25%,,7.75%,,,,30000000
bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
